path_name,name
10-06,S. Brunonis Confessoris
10-07,Sanctissimi Rosarii Beatæ Mariæ Virginis
10-08,S. Birgittæ Viduæ
10-09,S. Joannis Leonardi Confessoris
10-10,S. Francisci Borgiæ Confessoris
10-11,Maternitatis Beatæ Mariæ Virginis
10-13,S. Eduardi Regis Confessoris
10-14,S. Callisti Papæ et Martyris
10-15,S. Teresiæ Virginis
10-16,S. Hedwigis Viduæ
10-17,S. Margaritæ Mariæ Alaquoque Virginis
10-18,S. Lucæ Evangelistæ
10-19,S. Petri de Alcantara Confessoris
10-20,S. Joannis Cantii Confessoris
10-21,S. Hilarionis Abbatis
10-24,S. Raphaëlis Archangeli
10-25,Ss. Chrysanthi et Dariæ Martyrum
10-26,S. Evaristi Papæ et Martyris
10-27,In Vigilia Ss. Simonis et Judæ Ap.
10-28,Ss. Simonis et Judæ Apostolorum
10-31,In Vigilia Omnium Sanctorum
10-DU,In Festo Domini Nostri Jesu Christi Regis
11-01,Omnium Sanctorum
11-02,In Commemoratione Omnium Fidelium Defunctorum
11-02m1,In Commemoratione Omnium Fidelium Defunctorum Ad primam Missam
11-02m2,In Commemoratione Omnium Fidelium Defunctorum Ad secundam Missam
11-02m3,In Commemoratione Omnium Fidelium Defunctorum Ad tertiam Missam
11-02oct,Secunda die infra Octavam Omnium Sanctorum
11-03oct,Tertia die infra Octavam Omnium Sanctorum
11-04,S. Caroli Episcopi et Confessoris
11-04oct,Quarta die infra Octavam Omnium Sanctorum
11-05oct,Quinta die infra Octavam Omnium Sanctorum
11-06oct,Sexta die infra Octavam Omnium Sanctorum
11-07oct,Septima die infra Octavam Omnium Sanctorum
11-08,In Octava Omnium Sanctorum
11-09,In Dedicatione Basilicæ Ss. Salvatoris
11-10,S. Andreæ Avellini Confessoris
11-11,S. Martini Episcopi et Confessoris
11-12,S. Martini Papæ et Martyris
11-13,S. Didaci Confessoris
11-14,S. Josaphat Episcopi et Martyris
11-15,S. Alberti Magni Episcopi Confessoris et Ecclesiæ Doctoris
11-16,S. Gertrudis Virginis
11-17,S. Gregorii Thaumaturgi Episcopi et Confessoris
11-18,In Dedicatione Basilicarum Ss. Apostolorum Petri et Pauli
11-19,S. Elisabeth Viduæ
11-20,S. Felicis de Valois Confessoris
11-21,In Presentatione Beatæ Mariæ Virginis
11-22,S. Cæciliæ Virginis et Martyris
11-23,S. Clementis Papæ et Martyris
11-24,S. Joannis a Cruce Confessoris et Ecclesiæ Doctoris
11-25,S. Catharinæ Virginis et Martyris
11-26,S. Silvestri Abbatis
11-29,In Vigilia S. Andreæ Apostoli
11-30,S. Andreæ Apostoli
12-02,S. Bibianæ Virginis et Martyris
12-03,S. Francisci Xaverii Confessoris
12-04,S. Petri Chrysologi Episcopi Confessoris et Ecclesiæ Doctoris
12-05,S. Sabbæ Abbatis
12-06,S. Nicolai Episcopi et Confessoris
12-07,S. Ambrosii Episcopi Confessoris et Ecclesiæ Doctoris
12-08,In Conceptione Immaculata Beatæ Mariæ Virginis
12-09bmv,De II die Infra Octavam Immaculatæ Concept. Beatæ Mariæ Virgini
12-10bmv,De III die Infra Octavam Immaculatæ Concept. Beatæ Mariæ Virgini
12-11,S. Damasi Papæ et Confessoris
12-11bmv,De IV die Infra Octavam Immaculatæ Concept. Beatæ Mariæ Virgini
12-12a,De V die Infra Octavam Immaculatæ Concept. Beatæ Mariæ Virgini
12-12bmv,De V die Infra Octavam Immaculatæ Concept. Beatæ Mariæ Virgini
12-13,S. Luciæ Virginis et Martyris
12-13bmv,De VI die Infra Octavam Immaculatæ Concept. Beatæ Mariæ Virgini
12-14bmv,De VII die Infra Octavam Immaculatæ Concept. Beatæ Mariæ Virgini
12-15,In Octava Immaculatæ Concept. Beatæ Mariæ Virgini
12-16,S. Eusebii Episcopi et Martyris
12-21,S. Thomæ Apostoli
12-24,In Vigilia Nativitatis Domini
12-25,In Nativitate Domini
12-25m1,In Nativitate Domini in nocte
12-25m2,In Nativitatis Domini in aurora
12-25m3,In die Nativitatis Domini
12-26,S. Stephani Protomartyris
12-27,S. Joannis Apostoli et Evangelistæ
12-28,Ss. Innocentium
12-29,S. Thomæ Cantuariensis Episcopi et Martyris
12-31,S. Silvestri Papæ et Confessoris
